Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
1,Wii Sports,Wii,2006,Sports,Nintendo  ,41.36,29.02,3.77,8.51,82.65
2,Super Mario Bros.,NES,1985,Platform,Nintendo  ,29.08,3.58,6.81,0.77,40.24
3,Mario Kart Wii,Wii,2008,Racing,Nintendo  ,15.91,12.92,3.8,3.35,35.98
4,Wii Sports Resort,Wii,2009,Sports,Nintendo  ,15.61,10.99,3.29,3.02,32.9
5,Pokémon Red / Green / Blue Version,GB,1998,Role-Playing,Nintendo  ,11.27,8.89,10.22,1,31.37
6,Tetris,GB,1989,Puzzle,Nintendo  ,23.2,2.26,4.22,0.58,30.26
7,New Super Mario Bros.,DS,2006,Platform,Nintendo  ,11.28,9.19,6.5,2.89,29.85
8,Wii Play,Wii,2007,Misc,Nintendo  ,13.96,9.18,2.93,2.85,28.92
9,New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo  ,14.53,7.01,4.7,2.27,28.51
10,Duck Hunt,NES,1985,Shooter,Nintendo  ,26.93,0.63,0.28,0.47,28.31
11,Nintendogs,DS,2005,Simulation,Nintendo  ,9.05,10.96,1.93,2.74,24.68
12,Mario Kart DS,DS,2005,Racing,Nintendo  ,9.71,7.51,4.13,1.91,23.26
13,Pokémon Gold / Silver Version,GB,2000,Role-Playing,Nintendo  ,9,6.18,7.2,0.71,23.1
14,Wii Fit,Wii,2008,Sports,Nintendo  ,8.92,8.03,3.6,2.15,22.7
15,Kinect Adventures!,X360,2010,Party,Microsoft Game Studios  ,15.09,4.97,0.24,1.81,22.1
16,Wii Fit Plus,Wii,2009,Sports,Nintendo  ,9.01,8.51,2.53,1.76,21.81
17,Grand Theft Auto: San Andreas,PS2,2004,Action,Rockstar Games  ,9.43,0.4,0.41,10.57,20.81
18,Super Mario World,SNES,1991,Platform,Nintendo  ,12.78,3.75,3.54,0.55,20.61
19,Grand Theft Auto V,PS3,2013,Action,Rockstar Games  ,6.37,9.85,0.99,3.12,20.32
20,Brain Age: Train Your Brain in Minutes a Day,DS,2006,Misc,Nintendo  ,4.74,9.21,4.16,2.04,20.16
21,Grand Theft Auto V,PS4,2014,Action,Rockstar Games  ,6.06,9.71,0.6,3.02,19.39
22,Pokémon Diamond / Pearl Version,DS,2007,Role-Playing,Nintendo  ,6.38,4.47,6.04,1.36,18.25
23,Super Mario Land,GB,1989,Platform,Nintendo  ,10.83,2.71,4.18,0.42,18.14
24,Super Mario Bros. 3,NES,1990,Platform,Nintendo  ,9.54,3.44,3.84,0.46,17.28
25,Grand Theft Auto: Vice City,PS2,2002,Action,Rockstar Games  ,8.41,5.49,0.47,1.78,16.15
26,Pokémon X/Y,3DS,2013,Role-Playing,Nintendo  ,5.68,5.06,4.4,0.99,16.13
27,Grand Theft Auto V,X360,2013,Action,Rockstar Games  ,9.06,5.33,0.06,1.42,15.86
28,Pokémon Ruby / Sapphire Version,GBA,2003,Role-Playing,Nintendo  ,6.06,3.9,5.38,0.5,15.85
29,Mario Kart 7,3DS,2011,Racing,Nintendo  ,6.03,5.35,3,1.11,15.49
30,Brain Age 2: More Training in Minutes a Day,DS,2007,Misc,Nintendo  ,3.43,5.36,5.32,1.18,15.29
31,Pokémon Black / White Version,DS,2011,Role-Playing,Nintendo  ,5.51,3.2,5.66,0.8,15.18
32,Pokémon Sun/Moon,3DS,2016,Role-Playing,Nintendo  ,6.02,4.34,3.82,0.99,15.17
33,Call of Duty: Black Ops 3,PS4,2015,Shooter,Activision  ,6.18,6.05,0.41,2.44,15.09
34,Gran Turismo 3: A-Spec,PS2,2001,Racing,Sony Computer Entertainment  ,6.85,5.09,1.87,1.16,14.98
35,Call of Duty: Modern Warfare 3,X360,2011,Shooter,Activision  ,9.07,4.29,0.13,1.33,14.82
36,Call of Duty: Black Ops,X360,2010,Shooter,Activision  ,9.76,3.73,0.11,1.14,14.74
37,Pokémon Yellow: Special Pikachu Edition,GB,1999,Role-Playing,Nintendo  ,5.89,5.04,3.12,0.59,14.64
38,Red Dead Redemption 2,PS4,2018,Action-Adventure,Rockstar Games  ,5.26,6.21,0.21,2.26,13.94
39,Call of Duty: Black Ops II,X360,2012,Shooter,Activision  ,8.27,4.32,0.07,1.2,13.86
40,Call of Duty: Black Ops II,PS3,2012,Shooter,Activision  ,4.99,5.88,0.65,2.28,13.8
41,Call of Duty: Modern Warfare 2,X360,2009,Shooter,Activision  ,8.54,3.63,0.08,1.28,13.53
42,Call of Duty: WWII,PS4,2017,Shooter,Activision  ,4.67,6.21,0.4,2.12,13.4
43,Call of Duty: Modern Warfare 3,PS3,2011,Shooter,Activision  ,5.54,5.78,0.49,1.54,13.35
44,Grand Theft Auto III,PS2,2001,Action,Rockstar Games  ,6.99,4.51,0.3,1.3,13.1
45,Mario Kart 8 Deluxe,NS,2017,Racing,Nintendo  ,5.05,4.98,2.11,0.91,13.05
46,Super Smash Bros. Brawl,Wii,2008,Fighting,Nintendo  ,6.64,2.57,2.67,1.03,12.91
47,Pokémon Omega Ruby/Pokémon Alpha Sapphire,3DS,2014,Role-Playing,Nintendo  ,4.78,3.98,3.15,0.82,12.73
48,Call of Duty: Black Ops,PS3,2010,Shooter,Activision  ,6.01,4.4,0.48,1.78,12.67
49,Animal Crossing: Wild World,DS,2005,Simulation,Nintendo  ,2.5,3.46,5.33,0.86,12.14
50,Halo 3,X360,2007,Shooter,Microsoft Game Studios  ,7.97,2.81,0.13,1.21,12.13
51,Super Mario 64,N64,1996,Platform,Nintendo  ,6.91,2.85,1.91,0.23,11.89
52,FIFA 18,PS4,2017,Sports,EA Sports  ,1.27,8.64,0.15,1.73,11.8
53,Pokémon Heart Gold / Soul Silver Version,DS,2010,Role-Playing,Nintendo  ,4.34,2.72,3.96,0.76,11.78
54,Super Mario Odyssey,NS,2017,Platform,Nintendo  ,5.1,3.75,2.02,0.84,11.71
55,Gran Turismo 4,PS2,2005,Racing,Sony Computer Entertainment  ,3.01,0.01,1.1,7.53,11.66
56,Super Mario 3D Land,3DS,2011,Platform,Nintendo  ,5.1,3.46,2.15,0.85,11.56
57,Super Mario Galaxy,Wii,2007,Platform,Nintendo  ,6.06,3.38,1.2,0.76,11.4
58,New Super Mario Bros. 2,3DS,2012,Platform,Nintendo  ,3.95,4.07,2.59,0.72,11.33
59,Super Mario Land 2: 6 Golden Coins,GB,1992,Platform,Nintendo  ,6.16,2.04,2.69,0.29,11.18
60,Grand Theft Auto IV,X360,2008,Action,Rockstar Games  ,6.8,3.11,0.14,1.04,11.09
61,Gran Turismo,PS,1998,Racing,Sony Computer Entertainment  ,4.02,3.87,2.54,0.52,10.95
62,FIFA 17,PS4,2016,Sports,Electronic Arts  ,1.26,7.95,0.12,1.61,10.94
63,Animal Crossing: New Leaf,3DS,2013,Simulation,Nintendo  ,2.46,3.06,4.9,0.48,10.9
64,Gran Turismo 5,PS3,2010,Racing,Sony Computer Entertainment  ,2.96,4.87,0.81,2.1,10.75
65,Call of Duty: Modern Warfare 2,PS3,2009,Shooter,Activision  ,4.99,3.66,0.38,1.59,10.61
66,Grand Theft Auto IV,PS3,2008,Action,Rockstar Games  ,4.79,3.73,0.44,1.62,10.57
67,Super Mario All-Stars,SNES,1993,Platform,Nintendo  ,5.99,2.15,2.12,0.29,10.55
68,Pokémon FireRed / LeafGreen Version,GBA,2004,Role-Playing,Nintendo  ,4.34,2.65,3.15,0.35,10.49
69,Call of Duty: Ghosts,X360,2013,Shooter,Activision  ,6.76,2.64,0.04,0.98,10.41
70,Uncharted 4: A Thief's End,PS4,2016,Action,Sony Interactive Entertainment  ,4.49,3.93,0.21,1.7,10.33
71,Just Dance 3,Wii,2011,Misc,Ubisoft  ,5.95,3.13,0,1.06,10.14
72,Call of Duty: Ghosts,PS3,2013,Shooter,Activision  ,4.11,4.01,0.39,1.62,10.13
73,Halo: Reach,X360,2010,Shooter,Microsoft Game Studios  ,7.08,2.01,0.08,0.8,9.97
74,Halo 4,X360,2012,Shooter,Microsoft Studios  ,6.72,2.36,0.04,0.83,9.96
75,Mario Kart 64,N64,1997,Racing,Nintendo  ,5.55,1.94,2.23,0.15,9.87
76,Minecraft,X360,2013,Misc,Microsoft Studios  ,5.96,2.94,0.02,0.9,9.82
77,Final Fantasy VII,PS,1997,Role-Playing,Sony Computer Entertainment  ,3.01,2.47,3.28,0.96,9.72
78,Gran Turismo 2,PS,1999,Racing,Sony Computer Entertainment  ,3.88,3.42,1.69,0.5,9.49
79,The Legend of Zelda: Breath of the Wild,NS,2017,Action-Adventure,Nintendo  ,4.54,2.94,1.26,0.73,9.46
80,Just Dance 2,Wii,2010,Misc,Ubisoft  ,5.8,2.86,0.01,0.77,9.45
81,Call of Duty 4: Modern Warfare,X360,2007,Shooter,Activision  ,5.98,2.39,0.13,0.91,9.41
82,Call of Duty: Black Ops IIII,PS4,2018,Shooter,Activision  ,4.05,3.28,0.5,1.49,9.32
83,Donkey Kong Country,SNES,1994,Platform,Nintendo  ,4.36,1.71,3,0.23,9.3
84,FIFA 19,PS4,2018,Sports,Electronic Arts  ,0.84,6.87,0.1,1.34,9.15
85,Super Smash Bros. Ultimate,NS,2018,Fighting,Nintendo  ,4.22,1.72,2.41,0.61,8.95
86,Mario Party DS,DS,2007,Misc,Nintendo  ,4.4,1.86,1.98,0.69,8.93
87,The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,Bethesda Softworks  ,5.1,2.83,0.1,0.85,8.88
88,Super Mario Kart,SNES,1992,Racing,Nintendo  ,3.54,1.24,3.81,0.18,8.76
89,Marvel's Spider-Man,PS4,2018,Action-Adventure,Sony Interactive Entertainment  ,3.64,3.39,0.32,1.41,8.76
90,Grand Theft Auto V,XOne,2014,Action,Rockstar Games  ,4.7,3.25,0.01,0.76,8.72
91,Halo 2,XB,2004,Shooter,Microsoft Game Studios  ,6.82,1.53,0.05,0.08,8.49
92,Call of Duty: Infinite Warfare,PS4,2016,Shooter,Activision  ,3.11,3.83,0.19,1.36,8.48
93,Fallout 4,PS4,2015,Role-Playing,Bethesda Softworks  ,2.91,3.97,0.27,1.34,8.48
94,Wii Party,Wii,2010,Misc,Nintendo  ,1.75,3.51,2.49,0.66,8.41
95,Super Smash Bros. for 3DS,3DS,2014,Fighting,Nintendo  ,3.73,1.5,2.55,0.54,8.32
96,Mario Party 8,Wii,2007,Misc,Nintendo  ,3.74,2.27,1.58,0.7,8.3
97,FIFA 16,PS4,2015,Sports,EA Sports  ,1.15,5.77,0.07,1.23,8.22
98,Pokémon Black 2 and White 2,DS,2012,Role-Playing,Nintendo  ,2.79,1.79,3.16,0.43,8.16
99,GoldenEye 007,N64,1997,Shooter,Nintendo  ,5.8,2.01,0.13,0.15,8.09
100,Final Fantasy X,PS2,2001,Role-Playing,Square  ,2.91,2.07,2.73,0.33,8.05
101,Star Wars Battlefront (2015),PS4,2015,Shooter,Electronic Arts  ,3.31,3.19,0.23,1.3,8.03
102,FIFA 13,PS3,2012,Sports,EA Sports  ,1.07,5.13,0.13,1.68,8.01
103,Mario & Sonic at the Olympic Games,Wii,2007,Sports,Sega  ,2.57,3.87,0.66,0.9,8
104,The Sims 3,PC,2009,Simulation,Electronic Arts  ,1.01,6.46,0,0.5,7.96
